filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error
spectrum_0_cams24_vmag7.49.pow,TRUE,,,3434.484,165.545,,,,,,
spectrum_0_cams24_vmag7.64.pow,TRUE,,,3369.473,241.189,,,,,,
spectrum_0_cams24_vmag8.18.pow,TRUE,,,3483.511,168.915,,,,,,
spectrum_0_cams24_vmag8.98.pow,MAYBE,,,,,,,,,,
spectrum_0_cams24_vmag9.24.pow,FALSE,,,,,,,,,,
spectrum_0_cams24_vmag10.17.pow,FALSE,,,,,,,,,,
spectrum_1_cams24_vmag8.35.pow,TRUE,,,3076.233,162.118,,,,,,
spectrum_1_cams24_vmag8.60.pow,MAYBE,,,,,,,,,,
spectrum_1_cams24_vmag8.76.pow,TRUE,,,3036.982,131.852,,,,,,
spectrum_1_cams24_vmag8.85.pow,TRUE,,,2193.922,659.314,,,,,,
spectrum_1_cams24_vmag9.57.pow,FALSE,,,,,,,,,,
spectrum_1_cams24_vmag10.38.pow,FALSE,,,,,,,,,,
spectrum_2_cams24_vmag7.44.pow,TRUE,,,3695.039,199.966,,,,,,
spectrum_2_cams24_vmag7.47.pow,TRUE,,,3793.577,248.706,,,,,,
spectrum_2_cams24_vmag8.07.pow,MAYBE,,,,,,,,,,
spectrum_2_cams24_vmag8.08.pow,MAYBE,,,,,,,,,,
spectrum_2_cams24_vmag9.96.pow,FALSE,,,,,,,,,,
spectrum_2_cams24_vmag10.32.pow,FALSE,,,,,,,,,,
spectrum_3_cams24_vmag7.54.pow,TRUE,,,2941.673,555.088,,,,,,
spectrum_3_cams24_vmag7.87.pow,TRUE,,,3254.564,181.949,,,,,,
spectrum_3_cams24_vmag7.95.pow,TRUE,,,3203.763,127.189,,,,,,
spectrum_3_cams24_vmag8.02.pow,TRUE,,,3187.265,201.658,,,,,,
spectrum_3_cams24_vmag9.46.pow,FALSE,,,,,,,,,,
spectrum_3_cams24_vmag9.95.pow,FALSE,,,,,,,,,,
spectrum_4_cams24_vmag7.39.pow,TRUE,,,3478.78,181.958,,,,,,
spectrum_4_cams24_vmag7.57.pow,TRUE,,,3487.062,168.291,,,,,,
spectrum_4_cams24_vmag7.79.pow,TRUE,,,3342.014,264.656,,,,,,
spectrum_4_cams24_vmag8.02.pow,TRUE,,,2862.007,722.616,,,,,,
spectrum_4_cams24_vmag8.16.pow,TRUE,,,3543.973,215.063,,,,,,
spectrum_4_cams24_vmag10.16.pow,FALSE,,,,,,,,,,
spectrum_5_cams24_vmag7.52.pow,TRUE,,,2927.183,779.211,,,,,,
spectrum_5_cams24_vmag7.94.pow,TRUE,,,3549.46,168.005,,,,,,
spectrum_5_cams24_vmag8.28.pow,MAYBE,,,,,,,,,,
spectrum_5_cams24_vmag10.06.pow,FALSE,,,,,,,,,,
spectrum_5_cams24_vmag10.30.pow,FALSE,,,,,,,,,,
spectrum_5_cams24_vmag10.47.pow,FALSE,,,,,,,,,,
spectrum_6_cams24_vmag7.07.pow,TRUE,,,3296.288,171.652,,,,,,
spectrum_6_cams24_vmag7.20.pow,TRUE,,,3289.578,150.215,,,,,,
spectrum_6_cams24_vmag8.36.pow,TRUE,,,2526.512,719.829,,,,,,
spectrum_6_cams24_vmag8.54.pow,MAYBE,,,,,,,,,,
spectrum_6_cams24_vmag8.95.pow,FALSE,,,,,,,,,,
spectrum_6_cams24_vmag9.28.pow,FALSE,,,,,,,,,,
spectrum_7_cams24_vmag7.23.pow,TRUE,,,3706.838,199.189,,,,,,
spectrum_7_cams24_vmag8.30.pow,MAYBE,,,,,,,,,,
spectrum_7_cams24_vmag8.31.pow,FALSE,,,,,,,,,,
spectrum_7_cams24_vmag8.69.pow,FALSE,,,,,,,,,,
spectrum_7_cams24_vmag9.37.pow,FALSE,,,,,,,,,,
spectrum_7_cams24_vmag9.90.pow,FALSE,,,,,,,,,,
spectrum_8_cams24_vmag7.29.pow,TRUE,,,3462.325,179.795,,,,,,
spectrum_8_cams24_vmag8.74.pow,MAYBE,,,,,,,,,,
spectrum_8_cams24_vmag9.16.pow,FALSE,,,,,,,,,,
spectrum_8_cams24_vmag9.21.pow,FALSE,,,,,,,,,,
spectrum_8_cams24_vmag10.11.pow,FALSE,,,,,,,,,,
spectrum_8_cams24_vmag10.22.pow,FALSE,,,,,,,,,,
spectrum_9_cams24_vmag7.27.pow,TRUE,,,3619.131,205.759,,,,,,
spectrum_9_cams24_vmag8.01.pow,TRUE,,,3540.068,194.458,,,,,,
spectrum_9_cams24_vmag8.72.pow,FALSE,,,,,,,,,,
spectrum_9_cams24_vmag8.73.pow,FALSE,,,,,,,,,,
spectrum_9_cams24_vmag9.37.pow,FALSE,,,,,,,,,,
spectrum_9_cams24_vmag10.07.pow,FALSE,,,,,,,,,,
spectrum_10_cams24_vmag7.75.pow,TRUE,,,3325.568,160.497,,,,,,
spectrum_10_cams24_vmag8.34.pow,TRUE,,,3222.489,140.314,,,,,,
spectrum_10_cams24_vmag9.19.pow,MAYBE,,,,,,,,,,
spectrum_10_cams24_vmag9.66.pow,FALSE,,,,,,,,,,
spectrum_10_cams24_vmag9.72.pow,FALSE,,,,,,,,,,
spectrum_11_cams24_vmag7.25.pow,TRUE,,,3304.847,212.703,,,,,,
spectrum_11_cams24_vmag8.16.pow,TRUE,,,3302.009,96.814,,,,,,
spectrum_11_cams24_vmag8.55.pow,MAYBE,,,,,,,,,,
spectrum_11_cams24_vmag9.85.pow,FALSE,,,,,,,,,,
spectrum_11_cams24_vmag10.35.pow,FALSE,,,,,,,,,,
spectrum_11_cams24_vmag10.39.pow,FALSE,,,,,,,,,,
spectrum_12_cams24_vmag7.34.pow,TRUE,,,3788.258,206.228,,,,,,
spectrum_12_cams24_vmag7.60.pow,TRUE,,,3987.687,197.441,,,,,,
spectrum_12_cams24_vmag8.20.pow,MAYBE,,,,,,,,,,
spectrum_12_cams24_vmag8.30.pow,MAYBE,,,,,,,,,,
spectrum_12_cams24_vmag9.84.pow,FALSE,,,,,,,,,,
spectrum_12_cams24_vmag10.05.pow,FALSE,,,,,,,,,,
spectrum_13_cams24_vmag7.15.pow,TRUE,,,3393.845,230.116,,,,,,
spectrum_13_cams24_vmag7.26.pow,TRUE,,,3376.135,214.089,,,,,,
spectrum_13_cams24_vmag8.10.pow,TRUE,,,3402.312,187.178,,,,,,
spectrum_13_cams24_vmag8.99.pow,FALSE,,,,,,,,,,
spectrum_13_cams24_vmag9.54.pow,FALSE,,,,,,,,,,
spectrum_13_cams24_vmag9.86.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag8.08.pow,TRUE,,,3465.13,137.311,,,,,,
spectrum_14_cams24_vmag9.25.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.44.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.69.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.96.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag7.89.pow,TRUE,,,3056.754,166.701,,,,,,
spectrum_15_cams24_vmag8.01.pow,TRUE,,,3105.477,116.591,,,,,,
spectrum_15_cams24_vmag8.09.pow,TRUE,,,3100.13,160.877,,,,,,
spectrum_15_cams24_vmag9.54.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag10.03.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag10.15.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag8.37.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.00.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.06.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.08.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.11.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.50.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag7.71.pow,TRUE,,,3976.852,165.16,,,,,,
spectrum_17_cams24_vmag8.94.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.00.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.29.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.58.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag10.22.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag7.25.pow,TRUE,,,3400.374,211.582,,,,,,
spectrum_18_cams24_vmag7.71.pow,TRUE,,,3427.852,242.338,,,,,,
spectrum_18_cams24_vmag8.48.pow,TRUE,,,3415.416,98.18,,,,,,
spectrum_18_cams24_vmag9.94.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag10.12.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag10.38.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag8.39.pow,MAYBE,,,,,,,,,,
spectrum_19_cams24_vmag8.42.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag9.23.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag9.36.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag10.19.pow,FALSE,,,,,,,,,,
spectrum_20_cams24_vmag7.39.pow,TRUE,,,2774.987,417.416,,,,,,
spectrum_20_cams24_vmag7.42.pow,TRUE,,,2769.773,445.325,,,,,,
spectrum_20_cams24_vmag8.27.pow,TRUE,,,2907.165,381.021,,,,,,
spectrum_20_cams24_vmag8.44.pow,TRUE,,,3018.611,192.629,,,,,,
spectrum_20_cams24_vmag8.76.pow,MAYBE,,,,,,,,,,
spectrum_20_cams24_vmag9.31.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag7.34.pow,TRUE,,,3646.266,165.42,,,,,,
spectrum_21_cams24_vmag8.28.pow,MAYBE,,,,,,,,,,
spectrum_21_cams24_vmag8.31.pow,MAYBE,,,,,,,,,,
spectrum_21_cams24_vmag8.64.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag9.17.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag9.79.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag8.15.pow,MAYBE,,,,,,,,,,
spectrum_22_cams24_vmag8.53.pow,MAYBE,,,,,,,,,,
spectrum_22_cams24_vmag8.62.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag8.77.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag9.91.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag10.41.pow,FALSE,,,,,,,,,,
spectrum_23_cams24_vmag7.36.pow,TRUE,,,3335.912,170.089,,,,,,
spectrum_23_cams24_vmag7.40.pow,TRUE,,,3343.142,177.501,,,,,,
spectrum_23_cams24_vmag7.46.pow,TRUE,,,3427.229,144.68,,,,,,
spectrum_23_cams24_vmag8.56.pow,TRUE,,,3434.356,133.67,,,,,,
spectrum_23_cams24_vmag8.82.pow,MAYBE,,,,,,,,,,
spectrum_23_cams24_vmag9.22.pow,MAYBE,,,,,,,,,,
spectrum_24_cams24_vmag8.79.pow,TRUE,,,2406.393,549.305,,,,,,
spectrum_24_cams24_vmag9.36.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag9.85.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag9.98.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag10.08.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag10.27.pow,FALSE,,,,,,,,,,
